block_id,available,timestamp
612312,0,4/5/12 21:10
612311,0,4/5/12 21:10
585092,0,4/5/12 21:10
326081,0,4/5/12 21:10
326082,0,4/5/12 21:10
542301,0,4/5/12 21:10
542302,0,4/5/12 21:10
326071,0,4/5/12 21:10
326072,0,4/5/12 21:10
472281,0,4/5/12 21:10
847052,0,4/5/12 21:10
847042,0,4/5/12 21:10
847041,0,4/5/12 21:10
326062,0,4/5/12 21:10
326061,0,4/5/12 21:10
546281,0,4/5/12 21:10
546282,0,4/5/12 21:10
363132,0,4/5/12 21:10
363131,0,4/5/12 21:10
546271,0,4/5/12 21:10
546272,0,4/5/12 21:10
546273,0,4/5/12 21:10
363122,0,4/5/12 21:10
363121,0,4/5/12 21:10
585061,0,4/5/12 21:10
502262,0,4/5/12 21:10
326052,0,4/5/12 21:10
502271,0,4/5/12 21:10
502282,0,4/5/12 21:10
847032,0,4/5/12 21:10
847031,0,4/5/12 21:10
847021,0,4/5/12 21:10
326042,0,4/5/12 21:10
681271,0,4/5/12 21:10
681272,0,4/5/12 21:10
681262,0,4/5/12 21:10
681261,0,4/5/12 21:10
585051,0,4/5/12 21:10
585052,0,4/5/12 21:10
681251,0,4/5/12 21:10
681252,0,4/5/12 21:10
325052,0,4/5/12 21:10
847011,0,4/5/12 21:10
326032,0,4/5/12 21:10
562262,0,4/5/12 21:10
562261,0,4/5/12 21:10
562252,0,4/5/12 21:10
585042,0,4/5/12 21:10
585041,0,4/5/12 21:10
325042,0,4/5/12 21:10
325041,0,4/5/12 21:10
562241,0,4/5/12 21:10
562242,0,4/5/12 21:10
562231,0,4/5/12 21:10
847001,0,4/5/12 21:10
326022,0,4/5/12 21:10
616242,0,4/5/12 21:10
616241,0,4/5/12 21:10
585031,0,4/5/12 21:10
585032,0,4/5/12 21:10
325032,0,4/5/12 21:10
325031,0,4/5/12 21:10
616231,0,4/5/12 21:10
585022,0,4/5/12 21:10
664232,0,4/5/12 21:10
585012,0,4/5/12 21:10
847031,2,4/6/12 0:00
325032,4,4/6/12 0:00
847011,4,4/6/12 0:00
363131,6,4/6/12 0:00
502282,1,4/6/12 0:00
326062,3,4/6/12 0:01
325041,7,4/6/12 0:01
326072,11,4/6/12 0:01
847031,3,4/6/12 0:02
326042,7,4/6/12 0:02
326022,3,4/6/12 0:02
847032,0,4/6/12 0:02
326032,4,4/6/12 0:02
585092,10,4/6/12 0:02
847031,5,4/6/12 0:03
326022,4,4/6/12 0:03
546281,9,4/6/12 0:03
847042,4,4/6/12 0:03
847011,5,4/6/12 0:03
502262,2,4/6/12 0:03
616231,1,4/6/12 0:03
326082,3,4/6/12 0:03
326032,5,4/6/12 0:03
326042,3,4/6/12 0:04
562262,1,4/6/12 0:04
326022,3,4/6/12 0:04
546281,10,4/6/12 0:04
326062,4,4/6/12 0:04
542302,3,4/6/12 0:04
325032,3,4/6/12 0:04
847032,2,4/6/12 0:04
585092,9,4/6/12 0:04
502282,0,4/6/12 0:04
326042,7,4/6/12 0:05
616241,9,4/6/12 0:05
363121,4,4/6/12 0:06
562262,2,4/6/12 0:06
326022,2,4/6/12 0:06
326062,5,4/6/12 0:06
616241,8,4/6/12 0:06
585022,15,4/6/12 0:06
847001,8,4/6/12 0:06
847031,6,4/6/12 0:06
326022,4,4/6/12 0:07
326071,7,4/6/12 0:07
542302,2,4/6/12 0:07
585092,10,4/6/12 0:07
847001,9,4/6/12 0:07
847031,7,4/6/12 0:07
326081,3,4/6/12 0:08
542302,1,4/6/12 0:08
546273,3,4/6/12 0:08
325041,8,4/6/12 0:08
562231,1,4/6/12 0:08
562262,3,4/6/12 0:08
546281,9,4/6/12 0:09
664232,0,4/6/12 0:09
847042,5,4/6/12 0:09
326032,4,4/6/12 0:09
612311,7,4/6/12 0:09
326042,9,4/6/12 0:09
847011,7,4/6/12 0:10
847041,1,4/6/12 0:10
325031,2,4/6/12 0:10
326072,12,4/6/12 0:10
847031,8,4/6/12 0:10
